InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode
INV1000001,07-12-2024 05:50,STR041,PRD0039,Clothing,7,4287.51,0,1742.57,Returning,Cash
INV1000002,24-07-2024 08:16,STR024,PRD0113,Shoes,1,7894.31,0,1180.1,New,Card
INV1000003,04-06-2025 19:56,STR005,PRD0098,Shoes,4,4635.48,10,939.86,Returning,Card
INV1000004,02-01-2025 04:21,STR014,PRD0070,Accessories,4,7626.07,10,654.94,Returning,Card
INV1000005,14-07-2025 20:40,STR016,PRD0029,Clothing,1,788.12,5,1382.58,Returning,Cash
INV1000006,06-10-2025 00:53,STR005,PRD0005,Clothing,4,4368.36,0,1241.93,Returning,Digital
INV1000007,24-02-2024 19:22,STR037,PRD0061,Accessories,2,2657.07,5,1958.69,Returning,Digital
INV1000008,10-03-2024 20:52,STR042,PRD0083,Shoes,1,1508.61,0,1163.55,Returning,Card
INV1000009,05-06-2025 18:43,STR016,PRD0112,Shoes,5,7447.51,20,586.78,Returning,Digital
INV1000010,26-06-2024 07:05,STR006,PRD0097,Shoes,1,6910.61,5,1726.66,New,Cash
INV1000011,03-11-2025 05:30,STR025,PRD0034,Clothing,5,4669.33,0,2171.2,New,Cash
INV1000012,11-01-2024 03:10,STR004,PRD0075,Accessories,3,7436.65,0,1109.07,New,Card
INV1000013,22-03-2024 08:16,STR012,PRD0009,Clothing,1,3177.66,0,964.84,Returning,Cash
INV1000014,06-10-2025 05:00,STR043,PRD0075,Accessories,3,5782.7,0,1246.52,Returning,Card
INV1000015,04-03-2025 03:16,STR020,PRD0059,Accessories,1,3366.92,0,451.82,New,Cash
INV1000016,02-12-2024 21:50,STR017,PRD0017,Clothing,6,4699.67,20,597.88,Returning,Card
INV1000017,09-03-2024 05:15,STR043,PRD0014,Clothing,2,4725.19,0,407.9,New,Cash
INV1000018,04-08-2024 08:38,STR022,PRD0027,Clothing,1,3593.74,5,315.21,Returning,Digital
INV1000019,04-05-2024 05:08,STR003,PRD0001,Clothing,7,2001,25,1120.74,Returning,Cash
INV1000020,03-12-2024 03:15,STR005,PRD0114,Shoes,3,5775.34,0,377.75,New,Card
INV1000021,16-06-2025 08:35,STR003,PRD0046,Accessories,2,2337.74,0,487.97,Returning,Digital
INV1000022,15-01-2025 17:51,STR016,PRD0111,Shoes,4,1970.01,0,1975.74,Returning,Card
INV1000023,07-11-2025 19:04,STR043,PRD0111,Shoes,3,6092.41,0,1586.42,New,Digital
INV1000024,25-09-2025 21:05,STR023,PRD0040,Clothing,1,4192.41,0,1374.75,New,Cash
INV1000025,24-10-2024 17:47,STR023,PRD0083,Shoes,2,4467.72,15,1297.65,Returning,Digital
INV1000026,26-04-2025 19:04,STR039,PRD0056,Accessories,3,3653.16,5,1401.4,New,Digital
INV1000027,06-10-2025 21:03,STR001,PRD0067,Accessories,4,9278.08,10,543.42,Returning,Digital
INV1000028,22-04-2025 22:22,STR040,PRD0041,Accessories,4,6734.86,20,1222.67,Returning,Card
INV1000029,17-05-2024 03:16,STR036,PRD0017,Clothing,2,1363.28,0,553.07,Returning,Digital
INV1000030,15-10-2024 01:08,STR020,PRD0037,Clothing,4,1445.82,10,1867.43,Returning,Digital
INV1000031,15-08-2025 22:45,STR048,PRD0022,Clothing,5,3464.83,10,1303.1,Returning,Cash
INV1000032,03-02-2024 01:06,STR013,PRD0019,Clothing,5,609.91,5,1470.75,Returning,Card
INV1000033,09-03-2024 06:07,STR026,PRD0032,Clothing,3,1164.07,20,1598.05,Returning,Card
INV1000034,05-04-2024 06:09,STR030,PRD0007,Clothing,3,3008.33,0,2094.91,Returning,Card
INV1000035,20-04-2025 00:33,STR021,PRD0097,Shoes,5,7218.27,10,2082.42,Returning,Digital
INV1000036,07-05-2025 01:20,STR031,PRD0058,Accessories,2,2814.16,10,1335.17,New,Cash
INV1000037,09-04-2024 19:54,STR019,PRD0031,Clothing,2,1722.72,5,1515.74,Returning,Digital
INV1000038,19-06-2024 07:06,STR005,PRD0054,Accessories,2,4253.71,5,1911.68,Returning,Card
INV1000039,26-11-2023 22:59,STR045,PRD0003,Clothing,5,4355.29,0,688.69,New,Card
INV1000040,13-03-2025 07:48,STR022,PRD0086,Shoes,3,5689.82,0,496.93,Returning,Digital
INV1000041,06-03-2025 19:43,STR038,PRD0073,Accessories,2,6731.1,5,1471.35,Returning,Cash
INV1000042,24-01-2025 22:33,STR021,PRD0044,Accessories,3,7683.93,15,618.42,New,Card
INV1000043,21-12-2023 20:52,STR023,PRD0029,Clothing,2,3425.65,10,1902.63,New,Card
INV1000044,03-08-2025 05:25,STR014,PRD0060,Accessories,1,7084.81,0,908.61,Returning,Cash
INV1000045,10-06-2024 19:17,STR002,PRD0040,Clothing,3,3091.09,0,1392.33,Returning,Cash
